OrderID,OrderDate,CustomerID,CustomerName,Region,Country,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,Discount,Profit
ORD1061,2022-04-19 00:00:00,CUST564,Jessica Baker,North America,USA,FICTI373,Fiction,Books,6,480.48,2479.28,0.14,326.83
ORD1276,2022-08-06 00:00:00,CUST529,Erin Hunter,South America,Australia,COMIC623,Comics,Books,2,130.49,250.54,0.04,55.91
ORD1064,2022-03-27 00:00:00,CUST578,Kenneth Perry,Asia,China,JACKE660,Jacket,Clothing,12,399.55,3595.95,0.25,967.08
ORD1519,2023-12-19 00:00:00,CUST507,Juan Coleman,Australia,India,SWEAT887,Sweater,Clothing,15,900.07,10125.79,0.25,2811.1
ORD1778,2022-02-01 00:00:00,CUST601,Russell Melton,Asia,Australia,PHONE230,Phone,Electronics,13,707.43,7449.24,0.19,1441.61
ORD1212,2022-08-20 00:00:00,CUST544,Scott Evans,Australia,Germany,JACKE283,Jacket,Clothing,12,472.93,5334.65,0.06,1543.67
ORD1973,2022-08-05 00:00:00,CUST510,Carlos Salazar,South America,Canada,SWEAT229,Sweater,Clothing,1,940.16,761.53,0.19,173.73
ORD1036,2023-09-14 00:00:00,CUST513,James Scott,South America,India,PHONE845,Phone,Electronics,3,238.23,578.9,0.19,104.46
ORD1106,2023-10-29 00:00:00,CUST542,Alan Lopez,Europe,Australia,PHONE243,Phone,Electronics,2,60.43,87.02,0.28,20.38
ORD1388,2023-10-18 00:00:00,CUST551,Christine Vega,South America,Brazil,JACKE421,Jacket,Clothing,7,706.21,4201.95,0.15,844.34
ORD1914,2023-11-22 00:00:00,CUST500,James Hill,North America,Germany,HEADP783,Headphones,Electronics,6,665.34,3992.04,0,890.64
ORD1160,2023-12-09 00:00:00,CUST621,Yolanda Baker,Australia,USA,LAMP708,Lamp,Home Decor,12,787.28,8502.62,0.1,2454.82
ORD1169,2022-05-15 00:00:00,CUST507,Casey Quinn,Australia,Germany,TABLE608,Tablet,Electronics,7,564.81,3439.69,0.13,414.83
ORD1843,2023-08-30 00:00:00,CUST674,Danielle Jensen,Europe,Canada,PHONE237,Phone,Electronics,9,922.08,6058.07,0.27,1478.41
ORD1132,2022-09-04 00:00:00,CUST647,Ashley Hall,South America,Canada,PHONE311,Phone,Electronics,7,589.22,3918.31,0.05,950.88
ORD1556,2023-10-26 00:00:00,CUST527,Carlos Cook,North America,Germany,CURTA657,Curtain,Home Decor,1,767.88,683.41,0.11,76.9
ORD1580,2023-12-28 00:00:00,CUST684,Tracy Kaiser,Europe,China,HEADP185,Headphones,Electronics,5,938.29,4363.05,0.07,537.18
ORD1713,2023-11-27 00:00:00,CUST589,William Graves,South America,India,CURTA268,Curtain,Home Decor,16,118.07,1322.38,0.3,337.5
ORD1610,2023-03-03 00:00:00,CUST517,Thomas Parker,Asia,India,JEANS629,Jeans,Clothing,7,15.53,84.79,0.22,22.54
ORD1381,2022-08-20 00:00:00,CUST583,David Campbell,Europe,Australia,LAMP897,Lamp,Home Decor,16,564.81,7952.52,0.12,1696.92
ORD1416,2023-06-04 00:00:00,CUST685,Jessica Carter,Europe,UK,T-SHI686,T-Shirt,Clothing,2,795.98,1162.13,0.27,141
ORD1815,2022-06-17 00:00:00,CUST591,Nicole Leach,South America,India,JACKE927,Jacket,Clothing,14,719.27,9666.99,0.04,1732.54
ORD1319,2023-07-21 00:00:00,CUST581,Sandra Shields,Europe,Germany,SWEAT417,Sweater,Clothing,14,177.29,1936.01,0.22,549.2
ORD1270,2022-06-10 00:00:00,CUST533,Karen Thompson,Australia,USA,HEADP651,Headphones,Electronics,12,169.97,1570.52,0.23,178.58
ORD1350,2023-05-11 00:00:00,CUST593,Jared Roth,Asia,USA,RUG683,Rug,Home Decor,13,26.46,316.46,0.08,75.05
ORD1531,2023-04-17 00:00:00,CUST525,Alexander Smith,Asia,UK,COMIC156,Comics,Books,17,620.14,8644.75,0.18,2112.99
ORD1260,2023-08-22 00:00:00,CUST570,Alexis Henderson,Europe,UK,TABLE476,Tablet,Electronics,5,455.51,2209.22,0.03,549.13
ORD1965,2022-12-27 00:00:00,CUST561,Erica Ford,Asia,Canada,COMIC640,Comics,Books,14,858.26,10333.45,0.14,1925.4
ORD1756,2023-06-02 00:00:00,CUST525,Theresa Guerrero,Asia,USA,TABLE319,Tablet,Electronics,14,961.79,9694.84,0.28,2831.86
ORD1018,2023-08-02 00:00:00,CUST612,Dennis Scott,Europe,Australia,SWEAT652,Sweater,Clothing,3,437.68,1208,0.08,205.37
ORD1811,2022-08-21 00:00:00,CUST630,Michael Jones,North America,India,HEADP618,Headphones,Electronics,7,293.53,1664.32,0.19,258.45
ORD1382,2023-07-31 00:00:00,CUST643,Lori Hunt,Europe,China,COMIC164,Comics,Books,5,90.44,406.98,0.1,103.54
ORD1458,2023-05-26 00:00:00,CUST674,David Sandoval,Australia,India,JACKE500,Jacket,Clothing,12,426.76,4352.95,0.15,593.61
ORD1921,2023-01-20 00:00:00,CUST585,Hailey Medina,North America,UK,HEADP922,Headphones,Electronics,12,29.01,271.53,0.22,50.51
ORD1637,2023-04-06 00:00:00,CUST642,Stephen Lee,Asia,Germany,PHONE666,Phone,Electronics,1,643.81,572.99,0.11,82.12
ORD1433,2023-07-25 00:00:00,CUST593,Tyler Gillespie,Europe,China,LAPTO110,Laptop,Electronics,17,775.32,12916.83,0.02,2000.79
ORD1312,2022-08-16 00:00:00,CUST589,Michael Hunt,Australia,Brazil,NON-F596,Non-Fiction,Books,19,711.81,12442.44,0.08,1535.03
ORD1608,2023-04-05 00:00:00,CUST695,Gary Hamilton,Australia,UK,LAMP980,Lamp,Home Decor,19,569.25,8111.81,0.25,1930.69
